id,subject,body,hash_tags,author,date,location
post_17592219270580,✨️ Studio day ✨️,"Full head blonde highlights ✨️ followed by a cut and blow dry to finish 💇‍♀️🎨

Are you looking to have nice shiny hair too? 😍

Let me know in the comment's below

Sarah Louise xo

#blondehair #shinyhair #freshcolour #kenilworthhairdresser #fullheadhighlights #professionalhairdresser",#blondehair #shinyhair #freshcolour #kenilworthhairdresser #fullheadhighlights #professionalhairdresser,S. T.,2023-06-27T16:40:05.090Z,castlegreen
post_17592219227902,Oooh look at that shine 😍😍,"Lovely new colour and a cut and blowdry 🎨💇‍♀️

Full head highlights and all over colour 💛💛

Are you looking for a new colour too?

Currently taking on new client's 🥰🥰

Sarah Louise xo

#newcolour #longhair #shinyhair #blondehighlights #colourcorrection #colourtransformation #hairstudio  #blondehighlights #foils #appointments #bookings #june  #countdowntosummerholidays",#newcolour #longhair #shinyhair #blondehighlights #colourcorrection #colourtransformation #hairstudio #blondehighlights #foils #appointments #bookings #june #countdowntosummerholidays,S. T.,2023-06-26T10:59:25.012Z,castlegreen
post_17592219208818,,Conor F. just joined Castle Green.,,C. F.,2023-06-25T17:33:05.124Z,castlegreen
post_17592219179844,"Warwickshire Singers present ""An English Country Garden"" featuring music by English composers through the centuries.","At All Saints Church, Church Street Harbury, CV33 9EY.
Starting at 4.30pm on Sunday 2nd July, it follows on from Harbury's open gardens day.
Tickets for the concert are £12 with tea and cakes available during the interval. The end time is roughly 6pm.

Tickets for the concert are available at ticketsource.co.uk/warwickshire-singers or on the door.
Proceeds go to Harbury's Heat, Light and Stone appeal.",,C. O.,2023-06-24T16:39:06.822Z,castlegreen
post_17592219164257,,Trudy B. just joined Castle Green.,,T. B.,2023-06-24T07:27:28.869Z,castlegreen
post_17592218983878,"Hi all, looking for recommendations for a  professional and reliable Gardner to trim and tidy the fairly large hedge surrounding our rear garden.",Thanks in advance,,N. T.,2023-06-18T10:46:22.304Z,castlegreen
post_17592219051621,Hello everyone 👋,"I'm Sarah Louise, a Freelance hairdresser and Educator working in my amazing studio in Kenilworth 💗

I do mainly highlights and cutting services 💇‍♀️🎨

Come & say hello 😁

Sarah Louise xo

#sayhello #introduction #newfollowers #newlikes #facebook #instragram #Kenilworthhairstudio #hairdresser",#sayhello #introduction #newfollowers #newlikes #facebook #instragram #Kenilworthhairstudio #hairdresser,S. T.,2023-06-20T12:05:24.727Z,castlegreen
post_17592218945427,"Selling my bed and mattress  together, as I'm moving abroad end of July.","Available 28th July for £175

I am open to negotiations if sensible :) 

Items are good condition and less than 2 years old.

If you know of people who might benefit, please please share ❤️ thank you",,C. P.,2023-06-16T20:48:04.242Z,castlegreen
post_17592218416715,The Pavilion and grounds behind the Brays Car at Kenilworth Castle has been purchased by English Heritage who want to turn it into a huge car  park.,I don't agree turning more of our green belt into a huge car park is a good idea. Also if there big events at the Castle the road going past the drive to the castle will be grid locked. Can we please start a local campaign to stop the car park?,,W. B.,2023-05-30T18:58:07.350Z,castlegreen
post_17592218800620,VIRGIN MEDIA OUTAGE IN KENILWORTH,"Anyone else got no Virgin broadband or TV  in Kenilworth, there was a big flash of lightening last evening then everything stopped working...",,N. T.,2023-06-12T10:40:09.854Z,castlegreen
