id,subject,body,hash_tags,author,date,location
post_17592219270087,,Clara P. just joined Marylebone.,,C. P.,2023-06-27T16:25:38.913Z,marylebone
post_17592219296040,Cleaner available,"My name is Maria 
I am cleaner for 10 years, I have
All refences you need 
I can clean  organise your house,and ironing
My phone number 07735517628
I have right to work in Uk",,M. D.,2023-06-28T13:36:04.735Z,marylebone
post_17592219293528,anyone in IT can help me please.,My phone needs SPF and DKIM verification. Thanks,,R. A.,2023-06-28T12:13:59.829Z,marylebone
post_17592219285264,This morning by the playground a Doberman started attacking my dog and I .,He was off the lead and his owner clearly couldn’t control him . The dog was thankfully wearing a muzzle but was aggressive and jumping on me . A runner recorded the event and I am looking for that recording . Please kindly get in contact. This happened 4 meters from a playground .,,C. C.,2023-06-28T07:59:17.950Z,marylebone
post_17592219279660,,,,H. W.,2023-06-27T21:47:06.677Z,marylebone
post_17592219269522,,,,C. P.,2023-06-27T16:03:34.294Z,marylebone
post_17592219249754,,,,H. W.,2023-06-26T22:57:21.159Z,marylebone
post_17592219234179,Interviews for German speaking sales assistant,,,T. A.,2023-06-26T14:00:05.187Z,marylebone
post_17592219231406,,,,D. B.,2023-06-26T12:35:49.520Z,marylebone
post_17592219231377,,,,D. B.,2023-06-26T12:34:54.387Z,marylebone
post_17592219231244,,,,D. B.,2023-06-26T12:32:04.896Z,marylebone
post_17592219231098,,,,D. B.,2023-06-26T12:29:26.048Z,marylebone
post_17592219231056,,,,D. B.,2023-06-26T12:27:53.750Z,marylebone
post_17592219230991,,,,D. B.,2023-06-26T12:25:19.670Z,marylebone
post_17592219230933,,,,D. B.,2023-06-26T12:23:33.435Z,marylebone
post_17592219230865,,,,D. B.,2023-06-26T12:21:15.653Z,marylebone
post_17592219144157,It didnt fit in the space but is a great rug!,,,L. P.,2023-06-23T11:49:29.569Z,marylebone
post_17592219129402,Our Summer Music Festival continues this weekend with Music on Saturday and Sunday.,"On Saturday our Jazz on the Broadwalk will feature the MarY Jane Lowe Trio playing from 2 to 4pm ( note this will be near the Broadwalk Cafe).  On Sunday, from 12 to 2pm,  Rock Choirs from several London areas, will join together and get you singing along with them.  At 3pm, The Kix jazz big band will play favourites from the Ellington/Basie era along with modern favourites. Bring your friends and family with a picnic and enjoy the music. IT’S ALL FREE!!

Regent's Park Bandstand, Paddington, Greater",,M. E.,2023-06-22T20:55:47.795Z,marylebone
post_17592219101475,Our Summer Music Festival continues this weekend with Music on Saturday and Sunday.,"On Saturday our Jazz on the Broadwalk will feature the MarY Jane Lowe Trio playing from 2 to 4pm ( note this will be near the Broadwalk Cafe).  On Sunday, from 12 to 2pm,  Rock Choirs from several London areas, will join together and get you singing along with them.  At 3pm, The Kix jazz big band will play favourites from the Ellington/Basie era along with modern favourites. Bring your friends and family with a picnic and enjoy the music. IT’S ALL FREE!!",,M. E.,2023-06-21T22:05:54.435Z,marylebone
post_17592219099801,,Sefali P. just joined Marylebone.,,S. P.,2023-06-21T20:59:53.525Z,marylebone
post_17592219083912,,,,A. J.,2023-06-21T12:12:41.838Z,marylebone
post_17592219080812,,Louise C. just joined Marylebone.,,L. C.,2023-06-21T10:36:11.063Z,marylebone
post_17592219069644,,Matthew H. just joined Marylebone.,,M. H.,2023-06-20T22:03:47.805Z,marylebone
post_17592219047251,Last chance to join FREE art workshops which are booking up fast.,Book Now:0207580 8620 or email artdevelopment@fitzroviacommunitycentre.org,,L. J.,2023-06-20T10:00:20.636Z,marylebone
post_17592218991157,,Kate K. just joined Marylebone.,,K. K.,2023-06-18T14:36:54.984Z,marylebone
post_17592218974874,,Fatima A. just joined Marylebone.,,F. A.,2023-06-17T22:57:02.133Z,marylebone
post_17592218965801,,,,C. B.,2023-06-17T15:56:44.293Z,marylebone
post_17592218887265,,,,A. P.,2023-06-14T22:33:36.225Z,marylebone
post_17592218887004,,,,A. P.,2023-06-14T22:21:34.987Z,marylebone
post_17592218886954,,,,A. P.,2023-06-14T22:17:06.670Z,marylebone
post_17592218884989,"Opera Brava, the UK’s famous touring company.","On the Nannies Lawn next to the Open Air Theatre.    “Country” style. Bring your picnic, chairs, blankets etc. Tickets on sale at the door £40 adults, £10 children under 16.",,M. E.,2023-06-14T20:50:46.838Z,marylebone
post_17592218872444,Selling it because I recently moved to a new flat that has central air conditioning and I do not need it anymore.,,,A. J.,2023-06-14T14:04:43.094Z,marylebone
post_17592218872173,,Adel J. just joined Marylebone.,,A. J.,2023-06-14T13:56:13.088Z,marylebone
post_17592218805962,"Like New wardrop, just been put IN FLAT for a show apartment, no scratch, need to go ASAP",£80,,Y. M.,2023-06-12T13:19:45.246Z,marylebone
post_17592218799764,OLD MAGAZINES NEEDED FOR COMMUNITY ART PROJECTS,"in Fitzrovia. Magazines with interesting content and images like National Geographic, Readers Digest, History, Geography, Films, Nature, Home improvement, cooking etc. rather than celebrity content. I can pick them up or preferably please bring them to the Fitzrovia Community Centre. It would be amazing if anyone could help us out with this. Many thanks. https://www.fitzroviacommunitycentre.org/arts-culture-heritage",,L. J.,2023-06-12T10:14:40.694Z,marylebone
post_17592218777393,Looking to secure a nice office space in W1 for 2-3 people.,Any recommendations,,T. A.,2023-06-11T15:02:53.370Z,marylebone
post_17592218787075,,Baz B. just joined Marylebone.,,B. B.,2023-06-11T20:10:27.270Z,marylebone
post_17592218595343,,,,N. O.,2023-06-05T16:12:40.227Z,marylebone
post_17592218591323,,,,N. O.,2023-06-05T14:03:48.558Z,marylebone
post_17592218591057,,,,N. O.,2023-06-05T13:55:35.990Z,marylebone
post_17592218590268,"Its a fab' vacuum, super strong suction.",Selling as I need something upright.,,C. B.,2023-06-05T13:31:43.770Z,marylebone
post_17592218555196,,Stephanie B. just joined Marylebone.,,S. B.,2023-06-04T11:17:05.199Z,marylebone
post_17592218309767,"Last night at around midnight, my friend dropped me off and continued walking towards Queen Anne Street where he was approached by five guys in their late teens/early twenties covered with ski masks and hoods on.","He gave his phone and AirPods right away without resistance but the guys nevertheless punched him twice and also got him to enter his passcode on the phone.

If anyone has seen anything or has any info, please let me know.",,P. G.,2023-05-27T09:32:07.598Z,marylebone
post_17592218533457,,Margo C. just joined Marylebone.,,M. C.,2023-06-03T15:04:00.958Z,marylebone
post_17592218429367,The wider Harley Street area is being plagued 20 hours a day by noise from the Jubilee Line between Baker Street and Bond Street.,"Anyone affected - there or anywhere else - should email customerservice@tfl.go.uk to obtain a complaints number. The more such messages they get, the more they will realise that they must do something about it!",,B. K.,2023-05-31T08:33:46.928Z,marylebone
