id,subject,body,hash_tags,author,date,location
post_17592219324965,,,,Nanito Colaco,2023-06-29T12:44:20.896Z,regentspark
post_17592219308012,"Next community clinic days: 29th of June, 13th and 27th of July.","We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-28T19:44:41.583Z,regentspark
post_17592219278545,,Ronney James just joined Regent's Park.,,Ronney James,2023-06-27T20:59:39.596Z,regentspark
post_17592219273976,Hi selling on old and perfect condition violin set.,Please message if interested.,,Donit Shahini,2023-06-27T18:29:41.600Z,regentspark
post_17592219269543,,Jim Phillips just joined Regent's Park.,,Jim Phillips,2023-06-27T16:04:05.934Z,regentspark
post_17592219267143,"Next community clinic days: 29th of June, and 12th of July.","We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-27T14:37:08.964Z,regentspark
post_17592219263997,,,,Fiona Ruthberger,2023-06-27T12:58:49.503Z,regentspark
post_17592219229223,,,,Luba Vyaznikova,2023-06-26T11:35:36.558Z,regentspark
post_17592219223075,Next community clinic day: 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-26T08:45:35.299Z,regentspark
post_17592219205795,Next community clinic days: 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-25T15:52:59.760Z,regentspark
post_17592219199571,Embroidery kit if anyone is interested in arts and crafts.,Thanks,,Donit Shahini,2023-06-25T12:16:06.086Z,regentspark
post_17592219191649,Hi I am selling my PC.,Please Message if interested. Thanks,,Donit Shahini,2023-06-25T07:56:44.050Z,regentspark
post_17592219181015,Hey everyone,"Hope your all well and enjoying the sun x
Can anyone recommend a karate class for my 11 year old son Kilburn area
Many thanks",,Karen Gorman,2023-06-24T17:23:41.396Z,regentspark
post_17592219169716,,Lin Breton just joined Regent's Park.,,Lin Breton,2023-06-24T10:39:26.712Z,regentspark
post_17592219154535,Next community clinic days: 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-23T17:57:32.750Z,regentspark
post_17592219142865,TENT HIRING,"Anyone knows where to hire a party tent. I am urgently in need of a party tent.

Any recommendations is appreciated.",,Ara Cam,2023-06-23T11:06:01.371Z,regentspark
post_17592219085586,Hi everyone!,,,Nur Shalihah Nizam Malik,2023-06-21T13:09:47.519Z,regentspark
post_17592219099659,Nearly New Ladies B'Twin Elops 3 City Bike Dark Grey 27 Wheel - Make an Offer - Message me privately,,,Simon Farmer,2023-06-21T20:54:33.745Z,regentspark
post_17592218990714,"Hi guys,","I'm looking for someone to come to my place on the afternoon of 29 June to clean for about 4 hours. The flat will already be clean and largely empty (mainly washing windows and cleaning bathrooms and kitchen).

Does anyone have any recommendations in NW1 ?",,Astrid Renn,2023-06-18T14:24:10.614Z,regentspark
post_17592219084598,,,,Fiona Ruthberger,2023-06-21T12:35:58.465Z,regentspark
post_17592219084421,,,,Fiona Ruthberger,2023-06-21T12:31:01.376Z,regentspark
post_17592219084327,Hi guys selling my TV don’t have any more space as I have just finished university and I am moving out.,perfect condition please message if you are interested. Thanks,,Donit Shahini,2023-06-21T12:27:16.690Z,regentspark
post_17592219082971,"Hi, I am selling a carpet set for anyone who is interested.",They are in Great condition with no damage or stains at all.,,Donit Shahini,2023-06-21T11:43:10.381Z,regentspark
post_17592219082800,Selling my living room carpet very good condition with no stains at all.,,,Donit Shahini,2023-06-21T11:36:27.615Z,regentspark
post_17592219048127,Posh Wash in Albany Street is looking for a part time Launderette assistant.,Please call 07547 518888 for further info.,,Mohammad P.,2023-06-20T10:24:22.949Z,regentspark
post_17592219045339,,Larissa Semmence just joined Regent's Park.,,Larissa Semmence,2023-06-20T09:09:37.392Z,regentspark
post_17592219044569,Tutoring!,"Hi there I'm a 3rd year medical student at UCL looking to tutor. I have A levels in Biology (A*), Chemistry (A), and Maths (A*) and iGCSEs in Biology, Chemistry, Drama, English, French, Latin, Maths, Mandarin, History and Physics. 
I have lots of experience tutoring a variety of ages and can teach primary as well. 
I can also help with entrance exams, and with medical school preparation. 
Contact me at 07903070342 for more details",,Larissa Semmence,2023-06-20T08:43:03.831Z,regentspark
post_17592219044475,,Princess Nelson just joined Regent's Park.,,Princess Nelson,2023-06-20T08:39:42.802Z,regentspark
post_17592219043759,,,,Fiona Ruthberger,2023-06-20T08:20:22.315Z,regentspark
post_17592219043570,,,,Fiona Ruthberger,2023-06-20T08:14:35.194Z,regentspark
post_17592219030909,Next community clinic days: 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-19T18:25:48.057Z,regentspark
post_17592219030882,,,,Vero Coletas,2023-06-19T18:24:46.342Z,regentspark
post_17592219030644,,,,Vero Coletas,2023-06-19T18:20:01.833Z,regentspark
post_17592219030416,,,,Vero Coletas,2023-06-19T18:14:38.550Z,regentspark
post_17592219027620,Microblading/Semi-Permanent makeup,,,Mar G.,2023-06-19T16:51:37.939Z,regentspark
post_17592219000221,Thank you to the very kind gentleman who spotted me hobbling along in the rain (on a painful ankle & with my elderly dad in tow).,He offered me his umbrella which I gladly took off him. I was on the phone to a doctor at the time so unable to convey my sincere thanks in person. What a lovely man you are. Thank you. I hope good karma finds its way back to you ☔️☔️☔️☔️.,,Clare O.,2023-06-18T19:56:12.512Z,regentspark
post_17592219011429,"Hey, everyone. 👋 I'm Donit",I am nearby ready to help,,Donit Shahini,2023-06-19T09:04:48.489Z,regentspark
post_17592218984610,,,,Nanito Colaco,2023-06-18T11:06:39.754Z,regentspark
post_17592218982715,,,,Nanito Colaco,2023-06-18T10:09:54.238Z,regentspark
post_17592218976086,,,,Ahmed Sa,2023-06-18T04:46:35.749Z,regentspark
post_17592218953652,Hi I have a 2 bedroom flat both double size with a balcony live on the 2nd floor we have green space in front of us nursery across the road and regents park behind I'm looking for a 3-4 bedroom in camden Borough.,,,Farhana Begum,2023-06-17T08:50:52.940Z,regentspark
post_17592218929962,,,,Vero Coletas,2023-06-16T11:23:06.176Z,regentspark
post_17592218913624,,,,Scarlett Sun,2023-06-15T19:06:14.683Z,regentspark
post_17592218885489,,Scarlett Sun just joined Regent's Park.,,Scarlett Sun,2023-06-14T21:11:55.703Z,regentspark
post_17592218885108,,,,Scarlett Sun,2023-06-14T20:54:28.255Z,regentspark
post_17592218873175,Next community clinic days: 15th and 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-14T14:24:48.068Z,regentspark
post_17592218839098,,Soline Baudet just joined Regent's Park.,,Soline Baudet,2023-06-13T13:27:10.211Z,regentspark
post_17592218838302,"Dear neighbors, I am leaving London in a few weeks and would like to sell this printer since I don’t have any place to take it with me",,,Soline Baudet,2023-06-13T13:02:40.764Z,regentspark
post_17592218831902,Next community clinic days: 15th and 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-13T09:53:33.874Z,regentspark
post_17592218823601,,Henry McGee just joined Regent's Park.,,Henry McGee,2023-06-13T00:16:19.106Z,regentspark
post_17592218795525,,Alexandra Luo just joined Regent's Park.,,Alexandra Luo,2023-06-12T08:06:12.814Z,regentspark
post_17592218691563,,omay amin just joined Regent's Park.,,omay amin,2023-06-08T16:06:54.246Z,regentspark
post_17592218676689,Hi everyone I am doing a VINTAGE CLOTHES SALE  as I just moved and do not fit my closet!,"5£ each 
size M to L
I got dresses t shirts jeans and skirts - brands from Zara to Moschino. DM me for details :)",,Giorgina Pell,2023-06-08T08:15:58.561Z,regentspark
post_17592218671531,,Ereza Kullashi just joined Regent's Park.,,Ereza Kullashi,2023-06-07T22:49:34.064Z,regentspark
post_17592218671321,,,,Ereza Kullashi,2023-06-07T22:33:29.019Z,regentspark
post_17592218661266,,,,Giorgina Pell,2023-06-07T16:38:05.430Z,regentspark
post_17592218652662,,Teddy Woods just joined Regent's Park.,,Teddy Woods,2023-06-07T12:16:13.551Z,regentspark
post_17592218640453,Next community clinic days: 15th and 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-07T04:03:51.882Z,regentspark
post_17592218603680,Hello there please check the private I sent to you my info,,,Lule Asani,2023-06-05T20:18:18.726Z,regentspark
post_17592218599439,,,,Kas Henderson,2023-06-05T18:15:12.157Z,regentspark
post_17592218508676,"Hi,","I am looking for a professional henna artist that lives local. 

Thanks",,Ara Cam,2023-06-02T17:26:43.241Z,regentspark
post_17592218561267,⭐️GIVEAWAY ⭐️,"I am excited to announce that I am expecting a baby next week (fingers crossed).

What is better to celebrate the arrival of the baby then with a giveaway.

We will announce two winners. 
You can choose any of our quality, tarnish free jewellery (one item per person).

Head over to my Instagram page and check the last post (todays post )on how to Participate. 
http://Instagram.com/sarrido.London

Or to my website and send us an email via mailing list if you do not have instagram and we will advise you on how to participate to win any jewellery from our shop. 
www.sarrido.com

Good luck!",,Ara Cam,2023-06-04T14:38:26.052Z,regentspark
post_17592218561114,⭐️GIVEAWAY ⭐️,"I am excited to announce that I am expecting a baby next week (fingers crossed).

What is better to celebrate the arrival of the baby then with a giveaway.

We will announce two winners. 
You can choose any of our quality, tarnish free jewellery (one item per person).

Head over to my Instagram page and check the last post (todays post )on how to Participate. 
http://Instagram.com/sarrido.London

Or to my website and send us an email via mailing list if you do not have instagram and we will advise you on how to participate to win any jewellery from our shop. 
www.sarrido.com

Good luck!",,Ara Cam,2023-06-04T14:35:07.297Z,regentspark
post_17592218522244,,,,Nanito Colaco,2023-06-03T08:52:41.777Z,regentspark
post_17592218505307,Is anyone does headshot and full body shot ?,"I am looking just for a few pictures, thanks",,In Lw,2023-06-02T15:21:26.687Z,regentspark
post_17592218493681,Next community clinic days: 15th and 29th of June.,"We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-06-02T08:46:58.876Z,regentspark
post_17592218487866,,,,Kas Henderson,2023-06-01T23:22:51.666Z,regentspark
post_17592218487776,,,,Kas Henderson,2023-06-01T23:15:13.213Z,regentspark
post_17592218487717,"Painting and decorating services available, with experienced painters.","Price negotiations welcome, feel free to contact. 
Thank you",,Kas Henderson,2023-06-01T23:12:07.925Z,regentspark
post_17592218487698,,,,Kas Henderson,2023-06-01T23:09:58.281Z,regentspark
post_17592218480215,Hello everyone!,"After completing my bachelor's degree in London, I'm moving to France to continue my studies.
I'm looking to sell a few things:
- a ""nutribullet"" blender bought a year ago in perfect condition (I've kept the packaging and the receipt); original link: https://www.robertdyas.co.uk/n[...]tarter-kit-grey . Price= £30
- a raclette machine, used but perfectly functional! (looks like this one: https://www.moulinex.fr/p/rac-[...]zUaAlwVEALw_wcB) . Price: £15
- 4 blue bowls (they look like these: https://www.theorientalshop.fr[...]AEaApy6EALw_wcB). Price= £20 
- a clear glass pie dish in very good condition (original link: https://www.boulanger.com/ref/[...]5624955&?kard=1). Price= £5
- a pack of 3 books (official version with real questions) to revise the GRE (Graduate Record Examination), which is a compulsory test to apply for some masters degrees. Very good condition, unused, price=£30 (https://blackwells.co.uk/bookshop/product/9781260026399...)
Please contact me if you are interested. 
Thank you for your interest,
Astrid",,Astrid Renn,2023-06-01T18:02:27.270Z,regentspark
post_17592218479769,,Astrid Renn just joined Regent's Park.,,Astrid Renn,2023-06-01T17:49:57.272Z,regentspark
post_17592218381819,,,,Fatima Alhalwachi,2023-05-29T17:11:15.491Z,regentspark
post_17592218380687,,,,Fatima Alhalwachi,2023-05-29T16:37:29.418Z,regentspark
post_17592218365992,,Beau Abououf just joined Regent's Park.,,Beau Abououf,2023-05-29T09:36:17.960Z,regentspark
post_17592218356553,,,,Fatima Alhalwachi,2023-05-28T21:19:10.603Z,regentspark
post_17592218356461,,,,Fatima Alhalwachi,2023-05-28T21:15:31.191Z,regentspark
post_17592218356395,,,,Fatima Alhalwachi,2023-05-28T21:11:42.546Z,regentspark
post_17592218356278,,,,Fatima Alhalwachi,2023-05-28T21:08:35.144Z,regentspark
post_17592218356194,,,,Fatima Alhalwachi,2023-05-28T21:05:38.192Z,regentspark
post_17592218335743,"Next community clinic days: 1st, 15th and 29th of June.","We can help with: Neck/Shoulder/Back/Knee Pain, Headaches, Migraines, Digestive issues, Women's Health, Anxiety, Stress, Tinnitus and many more.

Initial session: £35
Follow-up session: £30

https://four-gates-community-acupuncture.reservio.com/services",,Juliana Miranda,2023-05-28T09:16:28.933Z,regentspark
post_17592218319488,,,,Kadija Sam,2023-05-27T15:19:39.494Z,regentspark
post_17592218301029,Does anyone know how to fit an alarm into my car I have all the alarm equipment just need someone to fit it in ASAP.,,,Taha Al-hussain,2023-05-26T21:06:20.009Z,regentspark
post_17592218294709,,,,Anton Fernandez,2023-05-26T16:52:58.918Z,regentspark
post_17592218285011,I have problem with my oven it is not heating up,,,Manar Mahmoud,2023-05-26T11:06:34.458Z,regentspark
post_17592218273972,My oven is not heating can you do it,,,Manar Mahmoud,2023-05-25T22:58:10.862Z,regentspark
post_17592218210255,"This is my dog in Regent’s Park,when I point a camera at her she turns away and pretends she can’t hear or see me,the second i put the camera away she regains her senses, it always makes me  laugh.",Will H,,William Hendry,2023-05-23T23:00:27.738Z,regentspark
post_17592218255737,Are you looking to rent a garage in Regents Park area?,"Underground gated parking area with CCTV. Single space garage with own door (padlocked). £240 ppm. 
Please get in touch if of interest.",,Suzi Curtis,2023-05-25T12:11:08.192Z,regentspark
post_17592218251693,,Bowen Grove just joined Regent's Park.,,Bowen Grove,2023-05-25T10:02:07.504Z,regentspark
