id,subject,body,hash_tags,author,date,location
post_17592219198123,,Esben H. just joined Soho.,,E. H.,2023-06-25T11:29:44.754Z,soho
post_17592219197682,,,,E. H.,2023-06-25T11:16:54.675Z,soho
post_17592219197610,,,,E. H.,2023-06-25T11:14:08.650Z,soho
post_17592219154598,,Sundar B. just joined Soho.,,S. B.,2023-06-23T17:59:43.862Z,soho
post_17592219126173,,Big J. just joined Soho.,,B. J.,2023-06-22T19:00:19.956Z,soho
post_17592219121533,"Hi my name is Rita I'm looking for extra work as a cleaner, let me know if you need my help.",,,J. V.,2023-06-22T16:13:53.661Z,soho
post_17592219109619,,Sadia K. just joined Soho.,,S. K.,2023-06-22T09:21:56.060Z,soho
post_17592219077895,"Hi everyone, my name is Dani and I’m your local cleaner.","I’m very experienced and can bring it to you.
I offer many services 
Deep clean 🧼 
Normal clean 🧽 🧹 
Ironing 
I’m responsible, efficient, punctual. It will be a pleasure to take care of your needs ✅
Please do not hesitate to contact me if you’re looking for an excellent cleaner.
Thank you
 07511817069
See you soon 👋👋",,D. F.,2023-06-21T09:09:38.456Z,soho
post_17592219064702,,Sean Q. just joined Soho.,,S. Q.,2023-06-20T19:04:24.339Z,soho
post_17592219048234,,Haxley B. just joined Soho.,,H. B.,2023-06-20T10:28:11.619Z,soho
post_17592218964965,,Yutong J. just joined Soho.,,Y. J.,2023-06-17T15:26:10.259Z,soho
post_17592218964276,Hi.,Does anyone recognise the door or know which build is it in? My parcel was delivered to the wrong address by Evri. Thank you.,,Y. J.,2023-06-17T15:01:16.586Z,soho
post_17592218575466,,Catriona B. just joined Soho.,,C. B.,2023-06-05T03:17:22.980Z,soho
post_17592218791228,,Parvin R. just joined Soho.,,P. R.,2023-06-12T00:15:40.527Z,soho
post_17592218791167,No longer needed and taking up space.,,,P. R.,2023-06-11T23:59:54.439Z,soho
post_17592218744949,"Hi,","Looking for a local florist to maintenance our flowers outside of our shop. Angel, Islington 

Thanks",,F. S.,2023-06-10T12:13:25.071Z,soho
post_17592218674890,CLEANING SERVICE 🧹 🧼,"Hi ,everyone 😉 I’m a cleaner🫧
I have a huge experience. I can provide it.
Please contact me if you are looking for a great cleaner. 
Look many services I offer. 
I cover several areas of London
I can organise everything , ironing if you need a care with your clothes. 👚👗👖🧦.
I am responsible and punctual. 
pleasure care your home 🏡 

☎️ please don’t hesitate to get in touch , inbox message , send me a text or Whatsapp.
7511817069 - Danieli .",,D. F.,2023-06-08T07:08:48.825Z,soho
post_17592218549846,,Natasha c. just joined Soho.,,N. C.,2023-06-04T08:36:12.271Z,soho
post_17592218518525,Just got let down by a cleaner at 30 minutes notice.,Need a deep clean for an apartment in Piccadilly Circus today if possible. Message me if you can do with rates.,,S. P.,2023-06-03T06:29:03.843Z,soho
post_17592218409860,"This is my business guys, I'll be honest I still haven't found a way of posting things from the business account that show up on anybody else's timeline so I'm sharing it here until I work it out!",😅,,G. M.,2023-05-30T15:20:57.430Z,soho
post_17592218407432,,Josephine C. just joined Soho.,,J. C.,2023-05-30T14:07:41.390Z,soho
post_17592218354246,,Jonathan R. just joined Soho.,,J. R.,2023-05-28T19:43:14.120Z,soho
post_17592218353758,,Elena Sophya G. just joined Soho.,,E. G.,2023-05-28T19:21:37.926Z,soho
post_17592217878494,Still homeless.,And that’s wrong in a country that’s the fifth most wealthy - and where people who have saved thousands to travel on small boats are NOT homeless! We need to do SOMETHING! Why don’t we campaign for them to join the small boats people in being given shelter! If they can be housed so can the homeless! Maybe that will make the government actually DO something about it all!,,S. S.,2023-05-13T12:56:58.356Z,soho
post_17592218340061,,Abbie J. just joined Soho.,,A. J.,2023-05-28T11:27:41.808Z,soho
post_17592218263755,Looking for a cleaner in regents park area.,,,H. H.,2023-05-25T16:40:37.455Z,soho
post_17592218173274,genuine job offer..,i will respond to all in time . have a wonderful evening #housemusicunites,#housemusicunites,C. L.,2023-05-22T19:28:21.058Z,soho
post_17592218099991,Jane Jane that is wildly simplistic.,"And we both know the situation is far more complex than that! Yes you are correct and a proportion of homeless people do you have a drink and drugs problem, and I do get help, and then they are turned away from hospital accommodation because they cannot get over there drinking drug problems. But I’ve met a vast amount of homeless people that actually hold down daytime jobs - but just can’t get out of the ‘loop’ of what they need which is a bank account and an address in order to get accommodation/and/or a decent job.",,S. S.,2023-05-20T13:24:22.947Z,soho
