id,subject,body,hash_tags,author,date,location
post_17592218934337,"Hey neighbours, just wanted to give a shoutout to West 1 Window Cleaning!",They offer a wide range of window cleaning services that are sure to make your home sparkle. Check out their website at west1windowcleaning.com or give them a call at 07917336701 to schedule an appointment. Don't miss out on this opportunity to make your windows shine!,,I. P.,2023-06-16T13:53:31.927Z,stjamess
post_17592218323608,Good afternoon !,"My name is Oksana, I recently came to London from Ukraine🇺🇦, I live in Walthamstow and I need work - cleaning offices, or cleaning at home, washing windows, helping with dog walking.. . respond, maybe someone needs my services. If you are interested, email me here. I don’t speak English well, but I’m good understand",,O. V.,2023-05-27T18:00:27.936Z,stjamess
post_17592218350989,iPhone 14 Pro for sale - 128gb - Deep purple.,"I'm selling because I'm going to buy a bigger one.

Really good condition. Always used with film. 

New barnet - London",,I. L.,2023-05-28T17:45:54.673Z,stjamess
post_17592218349950,I DO A GOOD CLEAN IN YOUR HOME FOR £14 PER HOUR.,"I have clients all over London. If you are looking for a detailed cleaner, send me a message!!",,I. L.,2023-05-28T17:06:54.774Z,stjamess
post_17592218323370,,Oksana V. just joined St James's.,,O. V.,2023-05-27T17:51:57.061Z,stjamess
post_17592218297254,HOUSE CLEANING £15 PER HOUR.,"I HAVE HOURS AVAILABLE TO CLEAN YOUR HOUSE. If you are looking for good cleaning, message me!!",,I. L.,2023-05-26T18:30:23.899Z,stjamess
post_17592218297245,HOUSE CLEANING £15 PER HOUR.,"I HAVE HOURS AVAILABLE TO CLEAN YOUR HOUSE. If you are looking for good cleaning, message me!!!",,I. L.,2023-05-26T18:30:05.622Z,stjamess
post_17592218090461,,Joanne S. just joined St James's.,,J. S.,2023-05-20T08:22:02.476Z,stjamess
post_17592218048514,Good afternoon everybody!,I'm available for cleaning this week - £15 per hour and I cover all of London,,I. L.,2023-05-18T18:33:12.212Z,stjamess
post_17592218048504,Good afternoon everybody!,I'm available for cleaning this week - £15 per hour and I cover all of London!,,I. L.,2023-05-18T18:32:56.316Z,stjamess
post_17592217706038,,Jorge J. just joined St James's.,,J. J.,2023-05-08T08:10:19.403Z,stjamess
post_17592217569264,Looking for a web designer to rewrite a basic website from HMTL to WordPress.,The site is very basic and we need access to it in a WordPress version as we would like to be able to manage the posts and news ourselves.,,L. G.,2023-05-03T14:44:45.182Z,stjamess
post_17592217255778,Hello,"Are you looking for a good cleaner? I can help you for £14 an hour. I still have a few appointments this week and I work all London.

Let’s schedule!!!",,I. L.,2023-04-23T18:53:56.273Z,stjamess
post_17592217291608,Are you looking for a good cleaner?,"I can help you for £14 an hour. I still have a few appointments this week and I work all London.  
Let’s schedule",,I. L.,2023-04-24T19:58:26.126Z,stjamess
post_17592217255767,Are you looking for a good cleaner?,I can help you for £14 an hour. I still have a few appointments this week and I work all London!!,,I. L.,2023-04-23T18:53:39.927Z,stjamess
post_17592217255756,Are you looking for a good cleaner?,I can help you for £14 an hour. I still have a few appointments this week and I work all London.,,I. L.,2023-04-23T18:53:25.207Z,stjamess
post_17592217171666,,James C. just joined St James's.,,J. C.,2023-04-21T06:27:09.693Z,stjamess
post_17592216947241,,Jan U. just joined St James's.,,J. U.,2023-04-14T01:58:34.722Z,stjamess
post_17592216533492,HOUSE CLEANING £14 PER HOUR.,"I HAVE HOURS AVAILABLE TO CLEAN YOUR HOUSE. If you are looking for good cleaning, message me!!!",,I. L.,2023-03-31T17:15:37.867Z,stjamess
post_17592216491863,,Richard W. just joined St James's.,,R. W.,2023-03-30T10:49:10.846Z,stjamess
post_17592216284030,Hello.,"HOUSE CLEANING £14 PER HOUR. I HAVE HOURS AVAILABLE TO CLEAN YOUR HOUSE. If you are looking for good cleaning, message me.",,I. L.,2023-03-23T19:24:06.787Z,stjamess
post_17592216216720,I would NOT recommend this place,,,N. V.,2023-03-21T20:36:16.983Z,stjamess
post_17592216199205,,Man C. just joined Granby.,,M. C.,2023-03-21T11:38:35.124Z,stjamess
