id,subject,body,hash_tags,author,date,location
post_17592219228606,,,,M. M.,2023-06-26T11:17:26.557Z,victoria
post_17592219207892,,,,D. B.,2023-06-25T16:59:51.211Z,victoria
post_17592219200912,Original price £639,,,S. S.,2023-06-25T13:04:22.510Z,victoria
post_17592219152086,,Pauline Boyd B. just joined Victoria.,,P. B.,2023-06-23T16:26:15.290Z,victoria
post_17592219121471,"Placing this ad on behalf of my mum pictured here, who is a cancer patient.","Looking for a part time / full time carer with cooking skills to look after mum at home.
Preferably Portuguese / Brazilian speaker. 

Please get in touch with me. 

Thank you.",,A. D.,2023-06-22T16:10:54.533Z,victoria
post_17592219138795,,,,D. B.,2023-06-23T09:02:46.798Z,victoria
post_17592219022454,Looking for a window cleaner for a ground floor flat.,3 medium window’s 2 small window’s in the Sw1p area.,,C. M.,2023-06-19T14:21:07.473Z,victoria
post_17592219081009,,Lorenzo N. just joined Victoria.,,L. N.,2023-06-21T10:42:30.171Z,victoria
post_17592219055197,,,,S. S.,2023-06-20T13:55:00.623Z,victoria
post_17592219053777,,,,T. C.,2023-06-20T13:11:19.810Z,victoria
post_17592219030898,,Bea S. just joined Victoria.,,B. S.,2023-06-19T18:25:18.636Z,victoria
post_17592219026573,Selling 2 oil heaters because of moving overseas to Afrika for work.,,,E. T.,2023-06-19T16:20:45.855Z,victoria
post_17592219013153,,,,T. C.,2023-06-19T09:59:01.922Z,victoria
post_17592219010307,"Heya all, I'm Skylar, a local artist, designer and handyman.","I've lived in South Pimlico for almost 3 years now and thought it's about time I introduced myself and my artwork a bit more to my local community and neighbours. If you have some time, please check out my website www.deadinsidedesigns.co.uk to see what I'm about and it's great to be more connected with you all. Take care!",,S. S.,2023-06-19T08:30:19.491Z,victoria
post_17592218987844,,Skylar S. just joined Victoria.,,S. S.,2023-06-18T12:49:48.588Z,victoria
post_17592218955311,Moving home and don’t need these at our new one,,,K. R.,2023-06-17T09:46:20.220Z,victoria
post_17592218872492,Hi...,Just moved to Upper Tachbrook Street and am looking forward to meeting a few locals.,,N. R.,2023-06-14T14:06:34.376Z,victoria
post_17592218899453,,,,R. G.,2023-06-15T11:15:01.202Z,victoria
post_17592218878131,I’ll disassemble these so they can be condensed in to a carrier bag for ease of picking up,,,K. R.,2023-06-14T17:02:46.062Z,victoria
post_17592218850265,"We’re moving flats and no longer need this, happy to give it to a new home for £5 if you are okay to come collect it!",,,K. R.,2023-06-13T19:28:13.509Z,victoria
post_17592218838701,Any one please know of a registered gas engineer to disconnect and cap a gas cooker .,SW1 area central london,,A. B.,2023-06-13T13:17:40.760Z,victoria
post_17592218831242,Two bedroom in old pye Victoria.,"Next to at James station and short walk from Victoria.
Very spacious looking for a two or three bedroom in Churchill gardens or surrounding area.
07494826116",,A. S.,2023-06-13T09:37:13.803Z,victoria
post_17592218813559,"Hi neighbours, am looking for a cleaner who's will to travel to East London (East ham) two different house hold, once every two weeks.","If you are interested or know someone who is interested please get in touch. 

Thanking you all in advance.",,S. D.,2023-06-12T17:04:35.415Z,victoria
post_17592218723550,Hair up with fadya 68 Rochester Row SW1P1JU,"Mobile : 07500313334
Telephone: 02035561152",,F. D.,2023-06-09T16:35:13.911Z,victoria
post_17592218628091,Our Amy is still missing after 1 week 😢 she escaped from our house on 29th May.,"Please anyone if you see her let me know via 07516573974
We miss her very much with lots of tears and sleepless nights 😢😢😢",,J. P.,2023-06-06T16:10:48.457Z,victoria
post_17592218691039,"Hey everyone,","I’ve recently started my own programmes of olympiad and curriculum maths and programming for students of all levels in Westminster! 
Feel free to check https://www.exactscience.co and let me know if you are interested or have any questions.
I would be grateful if you shared this with anyone who might be also interested! 🙏

Thanks,
George",,G. I.,2023-06-08T15:50:05.342Z,victoria
post_17592218638747,,Antoinette B. just joined Victoria.,,A. B.,2023-06-06T22:06:21.528Z,victoria
post_17592218622494,"Hi, I am looking for any nannying or babysitting jobs during the summer holidays (to start mid June-September).",I am a second year Law student who has previously nannied and worked in a nursery. Thanks!,,E. G.,2023-06-06T13:12:54.875Z,victoria
post_17592218551499,"Hi ,I'm looking for a fridge, need one asap as my old one has broken do Do you know someone who is giving away or selling for a low cost one?",,,E. B.,2023-06-04T09:27:59.313Z,victoria
post_17592218535595,🫶,,,E. S.,2023-06-03T16:18:08.535Z,victoria
post_17592218555335,,DEBOUT L. just joined Victoria.,,D. L.,2023-06-04T11:21:25.932Z,victoria
post_17592218533742,,,,F. D.,2023-06-03T15:13:22.023Z,victoria
post_17592218533695,Fadya 07500313334,,,F. D.,2023-06-03T15:12:05.138Z,victoria
post_17592218533224,,Aaron N. just joined Victoria.,,A. N.,2023-06-03T14:57:24.536Z,victoria
post_17592218532715,👌💕❤️,,,A. N.,2023-06-03T14:42:08.296Z,victoria
post_17592218532601,❤️,,,A. N.,2023-06-03T14:37:38.107Z,victoria
post_17592218532697,🙈💕💕💕#Nail,,#Nail,A. N.,2023-06-03T14:41:25.188Z,victoria
post_17592218532686,🥰💕💕,,,A. N.,2023-06-03T14:40:55.749Z,victoria
post_17592218532676,🥰🥰🥰#Nail Aaron,,#Nail,A. N.,2023-06-03T14:40:30.365Z,victoria
post_17592218532649,❤️❤️#Nail,,#Nail,A. N.,2023-06-03T14:39:44.229Z,victoria
post_17592218532637,powder white tips ❤️🥰#Nail  Aaron,,#Nail,A. N.,2023-06-03T14:39:17.178Z,victoria
post_17592218532587,ombre 🥰🥰#Nail,,#Nail,A. N.,2023-06-03T14:37:17.352Z,victoria
post_17592218532569,Available now at Elisabete sousa discounts for new customers,,,F. D.,2023-06-03T14:36:32.339Z,victoria
post_17592218530005,,Fadya D. just joined Victoria.,,F. D.,2023-06-03T13:09:28.742Z,victoria
